1, 234.567.890-12, P, 2, 20, Lentes de Contato Coloridas, 120.00, 240.00
49, 789.012.345-69, S, 2, 13, Corte de Cabelos Masculino, 70.00, 140.00
50, 890.123.456-80, P, 1, 22, Perfume Masculino (Fragrância Amadeirada), 200.00, 200.00
51, 901.234.567-01, S, 2, 4, Corte de Cabelos Feminino, 80.00, 160.00
52, 012.345.678-91, P, 1, 5, Óleo Capilar Nutritivo, 80.00, 80.00
53, 234.567.890-12, S, 3, 18, Barba e Bigode com Henna (Tonalização), 35.00, 105.00
54, 345.678.901-23, P, 4, 3, Máscara de Hidratação Profunda, 55.00, 220.00
55, 456.789.012-34, S, 2, 19, Tratamento Estético Corporal Masculino, 250.00, 500.00
56, 567.890.123-45, P, 2, 6, Spray Protetor Térmico, 60.00, 120.00
57, 678.901.234-57, S, 1, 17, Relaxamento e Massagem Corporal para Homens, 120.00, 120.00
58, 789.012.345-68, P, 3, 5, Óleo Capilar Nutritivo, 80.00, 240.00
59, 890.123.456-78, S, 2, 14, Modelagem e Corte de Barba, 50.00, 100.00
60, 901.234.567-89, P, 1, 2, Condicionador Hidratante, 40.00, 40.00
61, 012.345.678-90, S, 3, 10, Tratamento Capilar (Reconstrução e Hidratação), 120.00, 360.00
62, 123.456.789-02, P, 1, 17, Blush em Pó, 45.00, 45.00
63, 234.567.890-14, S, 1, 11, Peeling Facial, 300.00, 300.00
64, 345.678.901-23, P, 2, 8, Creme Anti-idade para o Rosto, 180.00, 360.00
65, 456.789.012-35, S, 2, 6, Remoção de Rugas, 600.00, 1200.00
66, 567.890.123-46, P, 2, 4, Sérum Capilar, 120.00, 240.00
67, 678.901.234-57, S, 1, 9, Tratamento para Emagrecimento e Redução de Medidas, 350.00, 350.00
68, 789.012.345-68, P, 3, 19, Lábios (Balm Hidratante), 25.00, 75.00
69, 890.123.456-79, S, 1, 12, Massagem Relaxante, 100.00, 100.00
70, 901.234.567-01, P, 1, 1, Shampoo Antiqueda, 35.00, 35.00
71, 012.345.678-92, S, 1, 20, Corte de Cabelo + Barba (Pacote Completo), 110.00, 110.00
72, 123.456.789-03, P, 2, 18, Batom Líquido Matte, 40.00, 80.00
73, 234.567.890-12, S, 1, 3, Design de Sobrancelhas, 40.00, 40.00
74, 345.678.901-23, P, 3, 10, Esfoliante Corporal, 50.00, 150.00
75, 456.789.012-34, S, 2, 15, Tratamento para Queda de Cabelo, 200.00, 400.00
76, 567.890.123-45, P, 1, 21, Perfume Feminino (Fragrância Floral), 180.00, 180.00
77, 678.901.234-56, S, 1, 5, Pintura de Cabelos Feminino, 150.00, 150.00
78, 789.012.345-67, P, 3, 8, Creme Anti-idade para o Rosto, 180.00, 540.00
79, 890.123.456-80, S, 2, 2, Pedicure, 55.00, 110.00
80, 901.234.567-01, P, 1, 11, Creme para Olheiras, 90.00, 90.00
81, 012.345.678-91, S, 2, 7, Remoção de Manchas na Pele, 250.00, 500.00
82, 234.567.890-13, P, 2, 5, Óleo Capilar Nutritivo, 80.00, 160.00
83, 345.678.901-23, S, 2, 17, Relaxamento e Massagem Corporal para Homens, 120.00, 240.00
84, 456.789.012-35, P, 1, 13, Máscara Facial Revitalizante, 80.00, 80.00
85, 567.890.123-47, S, 2, 12, Massagem Relaxante, 100.00, 200.00
86, 678.901.234-58, P, 3, 22, Perfume Masculino (Fragrância Amadeirada), 200.00, 600.00
87, 789.012.345-69, S, 1, 6, Remoção de Rugas, 600.00, 600.00
88, 890.123.456-80, P, 2, 16, Pó Compacto Matte, 50.00, 100.00
89, 901.234.567-01, S, 3, 8, Aplicação de Botox, 800.00, 2400.00
90, 012.345.678-92, P, 2, 1, Shampoo Antiqueda, 35.00, 70.00
91, 123.456.789-02, S, 2, 14, Modelagem e Corte de Barba, 50.00, 100.00
92, 234.567.890-12, P, 1, 7, Leave-in Hidratante, 45.00, 45.00
93, 345.678.901-23, S, 3, 15, Tratamento para Queda de Cabelo, 200.00, 600.00
94, 456.789.012-34, P, 2, 4, Sérum Capilar, 120.00, 240.00
95, 567.890.123-45, S, 1, 20, Corte de Cabelo + Barba (Pacote Completo), 110.00, 110.00
96, 678.901.234-56, P, 1, 9, Hidratante Corporal Relaxante, 70.00, 70.00
97, 789.012.345-67, S, 2, 18, Barba e Bigode com Henna (Tonalização), 35.00, 70.00
98, 890.123.456-78, P, 1, 22, Perfume Masculino (Fragrância Amadeirada), 200.00, 200.00
99, 901.234.567-01, S, 2, 12, Massagem Relaxante, 100.00, 200.00
100, 012.345.678-90, P, 1, 20, Lentes de Contato Coloridas, 120.00, 120.00
